Name,PerkOne,PerkTwo,PerkThree,PerkFour
Kumakatok HC-4,SureShot IS/TrueSight IS,Luck in the Chamber,Extended Mag,Firefly
The Lingering Song,Iron Lordly Sights,Firefly,Reinforced Barrel/Rifled Barrel,High Caliber Rounds
Lord High Fixer,SureShot IS/TrueSight IS,Outlaw,Explosive Rounds,Luck in the Chamber
The Palindrome,SureShot IS/TrueSight IS,Spray and Play,High Caliber Rounds,Luck in the Chamber
The Revelator,SureShot IS/TrueSight IS,Spray and Play,Extended Mag,Army of One
Stolen Pride,SureShot IS/TrueSight IS,Spray and Play,Extended Mag,High Caliber Rounds
The Vanity,SureShot IS/TrueSight IS,Luck in the Chamber,Extended Mag,Firefly
Uffren HC4,SureShot IS/TrueSight IS,Luck in the Chamber,Extended Mag,Firefly
The Wail,SureShot IS/TrueSight IS,Outlaw,Explosive Rounds,Firefly
An Answering Chord,SPO-28,Perfect Balance,Reinforced Barrel,Spray and Play
Antipodal Hindsight,Reflex,Spray and Play,Speed Reload,Army of One
Arminius-D,SC Holo,Crowd Control,Counterbalance,High Caliber Rounds
Assembly II,Reflex,Extended Mag,Crowd Control,Counterbalance
The Continental,Reflex,Spray and Play,Rifled Barrel,Persistence
The Dealbreaker,SC Holo,Crowd Control,Spray and Play,Rifled Barrel
Doctrine of Passing,FastDraw IS,Persistence,Braced Frame,Counterbalance
Does Not Bow,Red Dot-OAS,Spray and Play,Perfect Balance,Army of One
Extremophile 011,Reflex,Extended Mag,Spray and Play,Persistence
Grim Citizen III,Red Dot-OAS,Crowd Control,Perfect Balance,Army of One
Haakon's Hatchet,Red Dot-OAS,Crowd Control,Perfect Balance,Army of One
Her Memory,Reflex,Spray and Play,Perfect Balance,Army of One
Hex Caster ARC,Red Dot-OAS,Rangefinder,Perfect Balance,Spray and Play
Paleocontact JPK-43,Reflex,Crowd Control,Perfect Balance,Army of One
Red Spectre,Red Dot-OAS,Crowd Control,Perfect Balance,Army of One
Shadow Price,Red Dot-OAS,Crowd Control,Perfect Balance,Army of One
Soulstealer's Claw,Red Dot-OAS,Perfect Balance,Single Point Sling,Spray and Play
SUROS ARI-41,SPO-28,High Caliber Rounds,Rifled Barrel,Spray and Play
SUROS ARI-45,SPO-28,High Caliber Rounds,Rifled Barrel,Spray and Play
The Unbent Tree,Iron Ranged Scope,Perfect Balance,Appended Mag,Counterbalance
Vision Stone,Smart Drift Control,Injection Mold,Hand Loaded,Crowd Control
Zarinaea-D,SC Holo,Crowd Control,Spray and Play,Rifled Barrel
Zero-Day Dilemma,Reflex,Spray and Play,Perfect Balance,Counterbalance
1000 Yard Stare,ShortGaze SLH10,Triple Tap,Casket Mag,Spray and Play
20/20 AMR7,ShortGaze SLH10,Unflinching,Skip Rounds,Firefly
Antinomy XVI,ATA Scout,Surplus,Spray and Play,Appended Magazine
Aoife Rua-D,ATA Scout,Surplus,Spray and Play,Appended Magazine
Bitter Edge 010,ShortGaze SLH10,Skip Rounds,Triple Tap,Firefly
But Not Forgotten,Linear Compensator,Perfect Balance,Explosive Rounds,Triple Tap
Deposition VII,ShortGaze SLH10,Skip Rounds,Triple Tap,Firefly
Devil's Dawn,Linear Compensator,Life Support,Quickdraw,Firefly
Eirene RR4,Faucon SS1,Triple Tap,Casket Mag,Clown Cartridge
Event Horizon,ShortGaze SLH10,Triple Tap,Casket Mag,Firefly
Extrasolar RR4,ShortGaze SLH10,Triple Tap,Casket Mag,Firefley
Her Fury,ShortGaze SLH10,Triple Tap,Casket Mag,Spray and Play
The Laughing Heart,Linear Compensator,Injection Mold,Explosive Rounds,Triple Tap
LDR 5001,ShortGaze SLH10,Triple Tap,Hand-laid Stock,Firefly
Seventh Sense,ViewTac SLH20/Ambush SLH25,Triple Tap,Casket Mag,Firefly
Tamar-D,ATA Scout,Surplus,Spray and Play,Appended Magazine
Tao Hua Yuan,ShortGaze SLH10,Triple Tap,Casket Mag,Spray and Play
Uzume RR4,Faucon SS1,Triple Tap,Casket Mag,Clown Cartridge
Weyloran's March,ShortGaze SLH10,Triple Tap,Casket Mag,Spray and Play
Y-09 Longbow Synthesis,ShortGaze SLH10,Triple Tap,Casket Mag,Firefly
44 Curtain Call,Linear Compensator/Accurized Ballistics/Field Choke,Army of One,Rifled Barrel,Crowd Control
Bad Counsel IV,Aggressive Ballistics,Hammer Forged,Extended Mag,Crowd Control
Burden of Proof,Linear Compensator/Accurized Ballistics/Field Choke,Army of One,Reinforced Barrel/Rifled Barrel,Performance Bonus
The Comedian,Linear Compensator/Accurized Ballistics/Field Choke,Crowd Control,Reinforced Barrel/Rifled Barrel,Performance Bonus
Conspiracy Theory-D,Field Choke,Army of One,Rifled Barrel,Performance Bonus
Her Champion,Linear Compensator/Accurized Ballistics/Field Choke,Army of One,Reinforced Barrel/Rifled Barrel,Crowd Control
Jingukogo-D,Linear Compensator/Accurized Ballistics/Field Choke,Rangefinder,Rifled Barrel,Army of One
Last-Ditch 001,CQB Ballistics,Rangefinder,Close and/or Personal,Extended Mag
Matador 64,Aggressive Ballistics,Performance Bonus,Reinforced Barrel/Rifled Barrel,Crowd Control
The Next Big Thing,Linear Compensator/Accurized Ballistics/Field Choke,Spray and Play,Rifled Barrel,Army of One
Occam's Razor,Linear Compensator/Accurized Ballistics/Field Choke,Army of One,Reinforced Barrel/Rifled Barrel,Crowd Control
Patch-A,Linear Compensator/Accurized Ballistics/Field Choke,Spray and Play,Rifled Barrel,Army of One
Party Crasher +1,Aggressive Ballistics,Army of One,Rifled Barrel,Performance Bonus
The Proud Spire,Linear Compensator,Army of One,Reinforced Barrel/Rifled Barrel,Performance Bonus
Stolen Will,Linear Compensator/Accurized Ballistics/Field Choke,Army of One,Reinforced Barrel/Rifled Barrel,Performance Bonus
Strongbow-D,Linear Compensator/Accurized Ballistics/Field Choke,Rangefinder,Rifled Barrel,Army of One
Two to the Morgue,Linear Compensator/Accurized Ballistics/Field Choke,Army of One,Reinforced Barrel/Rifled Barrel,Performance Bonus
Unraveling Thread,CQB Ballistics,Hammer Forged,Hand Loaded,Rangefinder
Winter's End,Linear Compensator,Appended Mag,Reinforced Barrel/Rifled Barrel,Army of One
77 Wizard,Red Dot-OAS,Spray and Play,Enhanced Battery,Grenadier
Ashraven's Flight,Red Dot-OAS,Spray and Play,Enhanced Battery,Army of One
The Branded Lord,Linear Compensator,Enhanced Battery,Reinforced Barrel,Life Support
Darkblade's Spite,Red Dot-OAS,Army of One,Enhanced Battery,Spray and Play
Each New Day,Reflex,Spray and Play,Enhanced Battery,Rangefinder
Ex Astris,Reflex,Spray and Play,Enhanced Battery,Rangefinder
Hitchhiker FR4,Reflex,Spray and Play,Enhanced Battery,Army of One
Long Far Gone,Reflex,Spray and Play,Enhanced Battery,Army of One
Phanta Rei,Reflex,Spray and Play,Enhanced Battery,Army of One
Saladin's Vigil,Linear Compensator,Enhanced Battery,Reinforced Barrel,Life Support
Split Shifter Pro,Red Dot-OAS,Spray and Play,Enhanced Battery,Army of One
Techuen Rage,Reflex,Spray and Play,Enhanced Battery,Army of One
Thesan FR4,Torch HS2,Spray and Play,Enhanced Battery,Army of One
The Vacancy,Torch HS2,Army of One,Enhanced Battery,Life Support
The Vortex,Reflex,Spray and Play,Enhanced Battery,Army of One
The Waiting,Reflex,Spray and Play,Enhanced Battery,Rangefinder
Worlds to Come 001,Reflex,Spray and Play,Enhanced Battery,Rangefinder
Anton's Rule,SureShot IS/TrueSight IS,Zen Moment,Hand Loaded,Rangefinder/Hidden Hand
The Binding Blaze,Iron Lordly Sights,Hand Loaded/Fitted Stock,High Caliber Rounds,Rangefinder/Hidden Hand/Zen Moment
Conviction II,SureShot IS/TrueSight IS,Zen Moment,Hot Swap,High Caliber Rounds
Crow's Eye,Linear Compensator,Hand Loaded,High Caliber Rounds,Rangefinder
Havoc Pigeon,SureShot IS/TrueSight IS,Zen Moment,Hot Swap,High Caliber Rounds
Impeacher V,SureShot IS/TrueSight IS,High Caliber Rounds/Quickdraw,Hand Loaded,Rangefinder/Hidden Hand
Ironwreath-D,SureShot IS/TrueSight IS,Zen Moment,Hot Swap,High Caliber Rounds
JabberHakke-D,SureShot IS/TrueSight IS,Zen Moment,Hot Swap,High Caliber Rounds
Teacup Tempest,SureShot IS/TrueSight IS,Zen Moment,High Caliber Rounds,Rangefinder
Queen's Choice,Linear Compensator,Rangefinder/Zen Moment,High Caliber Rounds,Hot Swap
The Wormwood,SureShot IS/TrueSight IS,High Caliber Rounds/Quickdraw,Hand Loaded,Rangefinder/Hidden Hand
Bane of the Taken,Smooth Ballistics,Spray and Play,High Caliber Rounds,Feeding Frenzy
Baron's Ambition,Accurized Ballistics/Linear Compensator,Spray and Play,High Caliber Rounds,Feeding Frenzy
Bonekruscher,Linear Compensator,Feeding Frenzy,Perfect Balance,Crowd Control
Bretomart's Stand,Linear Compensator,Spray and Play,High Caliber Rounds,Feeding Frenzy
Chaotic Neutral,Linear Compensator,Feeding Frenzy,Perfect Balance,Crowd Control
Diluvian 10/4X,Linear Compensator,Spray and Play,High Caliber Rounds,Feeding Frenzy
First Citizen IX,Linear Compensator,Feeding Frenzy,High Caliber Rounds,Persistence
Ruin Wake,Linear Compensator,Spray and Play,High Caliber Rounds,Feeding Frenzy
Objection IV,Linear Compensator,Spray and Play,High Caliber Rounds,Feeding Frenzy
The Silvered Dread,Linear Compensator,Spray and Play,Extended Mag,Perfect Balance
The Swarm,Linear Compensator,Spray and Play,High Caliber Rounds,Feeding Frenzy
Unending Deluge III,Linear Compensator,Spray and Play,High Caliber Rounds,Persistence
The Variable,Linear Compensator,Spray and Play,High Caliber Rounds,Feeding Frenzy
Zombie Apocalypse WF47,Linear Compensator/Accurized Ballistics/Field Choke,Spray and Play,High Caliber Rounds,Feeding Frenzy
The Ash Factory,Warhead Verniers/Hard Launch,Tripod,Javelin,Grenades and Horseshoes/Tracking
Disassembly Required,Warhead Verniers/Hard Launch,Heavy Payload,Javelin,Grenades and Horseshoes/Tracking
The Nightmare,Warhead Verniers/Hard Launch,Tripod,Field Scout,Grenades and Horseshoes/Tracking
Something Wicked,Soft Launch,Grenadier/Last Resort,Field Scout,Cluster Bomb
SUROS JLB-42,Warhead Verniers/Hard Launch,Heavy Payload,Grenades and Horseshoes/Tracking,Javelin
SUROS JLB-47,Warhead Verniers/Hard Launch,Heavy Payload,Grenades and Horseshoes/Tracking,Javelin
Something Wicked,Warhead Verniers/Hard Launch,Battle Runner,Heavy Payload,Grenades and Horseshoes/Tracking
Steel Oracle Z-11,Warhead Verniers/Hard Launch,Tripod,Field Scout,Grenades and Horseshoes/Tracking
The Titanium Orchid,Hard Launch/Aggressive Launch,Heavy Payload,Speed Reload/Flared Magwell,Grenades and Horseshoes/Tracking
Tormod's Bellows,Warhead Verniers/Hard Launch,Tripod,Heavy Payload,Grenades and Horseshoes/Tracking
Unto Dust 00,Warhead Verniers/Hard Launch,Field Scout,Heavy Payload,Grenades and Horseshoes/Tracking
The Vertigo,Warhead Verniers/Hard Launch,Heavy Payload,Grenades and Horseshoes/Tracking,Javelin
The Warpath,Warhead Verniers/Hard Launch,Field Scout,Javelin,Grenades and Horseshoes/Tracking
